title,rating,room_type,price
Hotel Paradise Inn-A Boutique Hotel Delhi,7.9,Double Room,1710
Hotel City Lite Near IGI Airport,7.6,Deluxe Room,701
Hotel The Tark Near IGI Airport Delhi,7.9,Deluxe Room,936
Hotel D'Capitol - Delhi Airport,8.0,Deluxe Double Room,1399
Airport Hotel Square Plaza,8.4,Superior Double or Twin Room,1209
Hotel Smart Plaza Delhi Airport,8.5,Deluxe Double Room,1485
Hotel Vanson Delite - New Delhi Railway Station,8.4,Deluxe Room,2550
Hotel Pearl - Mahipalpur Delhi Airport Fully Vaccinated Staff,8.1,Small Double Room,1071
Hotel Olivia Inn At Delhi Airport,8.6,Same Day use Room from 10 AM to 4 PM (check-in and check-out day on the same day),938
Novotel New Delhi Aerocity- International Airport,7.7,Standard King Room with WiFi,9000
"Holiday Inn New Delhi International Airport, an IHG Hotel",8.0,Standard King Room - Disability Access,8099
Radisson Blu Plaza Delhi Airport,8.2,Superior Room with Free Pick up and drop to Worldmark Aerocity (subject to car availability),7740
Aloft New Delhi Aerocity,8.1,"1 King Bed, City View, Aloft Room",7000
Hotel Oak Plaza - New Delhi Railway Station with free Secured parking,8.1,Deluxe Double Room,2580
"Taj Palace, New Delhi",8.7,"Deluxe Room, King Bed",12766
The Roseate,8.1,Premium Garden View Room,11049
Le Meridien New Delhi,7.8,Executive Double or Twin Room,9650
Hyatt Regency Delhi,7.7,Hyatt King Room with 15% off on food and soft beverages,9445
Andaz Delhi Aerocity- Concept by Hyatt,8.1,King Room,10200
OPO Hotels Alpine Tree,8.0,Deluxe Double Room,2228
Staybook - Hotel Jai Balaji New Delhi Railway Station,7.9,Economy Double Room,1079
Hotel Star One - Near Delhi Airport,8.2,Deluxe Room,2911
Hotel Stay Well Dx,7.9,Deluxe Double Room,1920
"Hotel Bricks, Karol Bagh, New Delhi",8.4,Standard Double Room,2138
Hotel Festival Mahipalpur Delhi Airport - Fully Vaccinated Staff,8.6,Deluxe Room,1205
Hotel Paradise Inn-A Boutique Hotel Delhi,7.9,Double Room,1710
Hotel City Lite Near IGI Airport,7.6,Deluxe Room,701
Hotel The Tark Near IGI Airport Delhi,7.9,Deluxe Room,936
Hotel D'Capitol - Delhi Airport,8.0,Deluxe Double Room,1399
Airport Hotel Square Plaza,8.4,Superior Double or Twin Room,1209
Hotel Smart Plaza Delhi Airport,8.5,Deluxe Double Room,1485
Hotel Vanson Delite - New Delhi Railway Station,8.4,Deluxe Room,2550
Hotel Pearl - Mahipalpur Delhi Airport Fully Vaccinated Staff,8.1,Small Double Room,1071
Hotel Olivia Inn At Delhi Airport,8.6,Same Day use Room from 10 AM to 4 PM (check-in and check-out day on the same day),938
Novotel New Delhi Aerocity- International Airport,7.7,Standard King Room with WiFi,9000
"Holiday Inn New Delhi International Airport, an IHG Hotel",8.0,Standard King Room - Disability Access,8099
Radisson Blu Plaza Delhi Airport,8.2,Superior Room with Free Pick up and drop to Worldmark Aerocity (subject to car availability),7740
Aloft New Delhi Aerocity,8.1,"1 King Bed, City View, Aloft Room",7000
Hotel Oak Plaza - New Delhi Railway Station with free Secured parking,8.1,Deluxe Double Room,2580
"Taj Palace, New Delhi",8.7,"Deluxe Room, King Bed",12766
The Roseate,8.1,Premium Garden View Room,11049
Le Meridien New Delhi,7.8,Executive Double or Twin Room,9650
Hyatt Regency Delhi,7.7,Hyatt King Room with 15% off on food and soft beverages,9445
Andaz Delhi Aerocity- Concept by Hyatt,8.1,King Room,10200
OPO Hotels Alpine Tree,8.0,Deluxe Double Room,2228
Staybook - Hotel Jai Balaji New Delhi Railway Station,7.9,Economy Double Room,1079
Hotel Star One - Near Delhi Airport,8.2,Deluxe Room,2911
Hotel Stay Well Dx,7.9,Deluxe Double Room,1920
"Hotel Bricks, Karol Bagh, New Delhi",8.4,Standard Double Room,2138
Hotel Festival Mahipalpur Delhi Airport - Fully Vaccinated Staff,8.6,Deluxe Room,1205
Hotel Blue Pearl,8.6,Deluxe Room,1860
"ITC Maurya, a Luxury Collection Hotel, New Delhi",8.0,Executive Queen Room with Garden View- Club Level,11000
Hotel Airport city palace,7.9,Deluxe Double Room,1575
Hotel The IVY Grand With Free Secured Parking,8.3,Deluxe Room,4050
Hotel Airport View,7.5,Standard Double or Twin Room,2159
"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel",7.5,Standard Double or Twin Room with 1+1 Offer on Select Alcoholic Beverages at a Restaurant from 11:00 hours to 20:00 hours,5817
Hotel Smart Palace - Near Delhi Airport,8.0,Super Deluxe Room,1291
Hotel Baba Deluxe -By RCG Hotels,8.0,Deluxe Double or Twin Room,2052
Hotel Siddharth A Boutique Guest House,7.6,Deluxe Double Room,1121
Hotel Arch - Near Aerocity New Delhi,7.8,Deluxe Room,2364
Hotel Classic,8.8,Deluxe Double Room,959
Hotel King Plaza,6.3,Deluxe King Room,780
"Park Inn by Radisson,South Delhi",7.5,Superior Room,6559
Hotel Elegance,7.4,Deluxe Double or Twin Room,2295
Airport hotel Breeze,7.0,Deluxe Room,933
Pullman New Delhi Aerocity- International Airport,8.1,"Deluxe King Room with Bathtub ,Free WiFi ",11500
Hotel Smart Signature Delhi Airport,7.7,Deluxe Double Room,1001
JW Marriott Hotel New Delhi Aerocity,8.6," Premier Room, Pool view, Guest room, 1 King ",16850
"Crowne Plaza New Delhi Okhla, an IHG Hotel",8.0,Twin Room - Non-Smoking,6950
Hotel Aiwan-e-Shahi,7.9,Deluxe Double Room,2142
"Holiday Inn Express New Delhi International Airport T3, an IHG Hotel",7.2,Queen Room - Accessible,11019
FabHotel Prime Sage,7.1,Deluxe Double Room,2577
Hotel Sopan Heights,8.5,"Deluxe Room, Late check-out by 3 hours",3074
The Oberoi New Delhi,9.5,Deluxe Room,18750
"Pride Plaza Hotel, Aerocity New Delhi",7.5,Deluxe Twin Room,8234
The Claridges New Delhi,8.0,Claridges Boutique Room,11250
Maidens Hotel New Delhi,9.4,Heritage Room,8500
Hotel Wow Inn,7.5,Deluxe Double Room,1530
Smyle Inn - 3 minutes walk From New Delhi Railway Station,7.9,Standard Double or Twin Room,1297
Hotel Viva Palace,7.0,Deluxe Double Room,2156
Hilton Garden Inn New Delhi/Saket,7.5,"King Bed Guest Room - 1+1 on IMFL, 20% Discount on all Hotel Services, Early Check in & Late Check out by 3 hours Subject to Availability",9500
Sheraton New Delhi Hotel,8.4,Deluxe Double or Twin Room,14000
The Grand Orion - Kailash Colony,7.6,Deluxe Double or Twin Room with City View,3899
"Hotel Nitya Maharani "" Couple Friendly "" Vaccinated Staff""",8.5,Deluxe Double Room,2049
bloomrooms @ Janpath,8.2,Standard King Room,6500
Hotel Square Stay,8.6,Superior Double Room,1019
Shangri-La Eros New Delhi,8.5,Deluxe King Room,10800
